1 Ticker,1 Shares,1 Date,1 Action,1 Price,1 Gross Price,1 Commission,1 Net Amount,1 Currency,1 Curr Rate,2 Ticker,2 Shares,2 Date,2 Action,2 Price,2 Gross Price,2 Commission,2 Net Amount,2 Currency,2 Curr Rate,P&L USD,P&L CAD,Daily SUM USD,Daily SUM CAD
CLDR,10,2020-12-23,Buy,14.92,-149.2,-0.1,-149.3,USD,1.28455,CLDR,-10,2020-12-23,Sell,15.1616,151.62,-0.11,151.51,USD,1.28455,2.21,2.84,2.21,2.84
RMG,3,2020-12-28,Buy,35.857733,-107.57,-0.03,-107.6,USD,1.2848,RMG,-3,2020-12-28,Sell,35.936667,107.81,-0.04,107.77,USD,1.2848,0.17,0.22,0.17,0.22
IPOC,7,2020-12-28,Buy,16.55,-115.85,-0.07,-115.92,USD,1.2848,IPOC,-7,2020-12-28,Sell,16.4911,115.44,-0.08,115.36,USD,1.2848,-0.56,-0.72,-0.39,-0.5
FLGT,4,2020-12-29,Buy,48.40765,-193.63,-0.04,-193.67,USD,1.2819,FLGT,-4,2020-12-29,Sell,47.84665,191.39,-0.05,191.34,USD,1.2819,-2.33,-2.99,-2.33,-2.99
IMMR,2,2020-12-29,Buy,11.66,-23.32,-0.02,-23.34,USD,1.2819,IMMR,-2,2020-12-29,Sell,11.18,22.36,-0.03,22.33,USD,1.2819,-1.01,-1.29,-3.34,-4.28
CAN,5,2020-12-31,Buy,5.46,-27.3,-0.05,-27.35,USD,1.2733,CAN,-5,2020-12-31,Sell,5.93,29.65,-0.06,29.59,USD,1.2733,2.24,2.85,2.24,2.85
ELF,3,2020-12-31,Buy,25.1,-75.3,-0.03,-75.33,USD,1.2733,ELF,-3,2020-12-31,Sell,24.9311,74.79,-0.04,74.75,USD,1.2733,-0.58,-0.74,1.66,2.11
FCEL,7,2020-12-31,Buy,11.6489,-81.54,-0.07,-81.61,USD,1.2733,FCEL,-7,2020-12-31,Sell,11.6019,81.21,-0.08,81.13,USD,1.2733,-0.48,-0.61,1.18,1.5
SOL,10,2020-12-28,Buy,11,-110,-0.1,-110.1,USD,1.2848,SOL,-10,2020-12-31,Sell,11.35,113.5,-0.11,113.39,USD,1.2733,3.29,4.19,4.47,5.69
RIOT,5,2020-12-28,Buy,16.9399,-84.7,-0.05,-84.75,USD,1.2848,RIOT,-5,2020-12-31,Sell,17.2,86,-0.06,85.94,USD,1.2733,1.19,1.52,5.66,7.21
